,r1,wave,theta,phi,e,t,p
62,0.3181818181818182,3.0,10.0,0.0,(0.897522103683681-0.2185717715283574j),0.9237529680113752,-0.23887816368759235
63,0.3181818181818182,3.0,15.0,0.0,(0.3390128783256145-0.3389400372525007j),0.47938510669746975,-0.7852907207253103
64,0.32272727272727275,3.0,0.0,0.0,(0.377477164293301+0.3962008503839562j),0.5472331526944267,0.8095943168896875
65,0.32272727272727275,3.0,5.0,0.0,(-0.009323821374782026-0.05553852185413075j),0.05631572653149919,-1.7371255628432092
66,0.32272727272727275,3.0,10.0,0.0,(0.9224047649743758-0.04044176391219047j),0.9232909003752625,-0.043815775678802904
67,0.32272727272727275,3.0,15.0,0.0,(0.5522646982620408-0.16236586916267168j),0.5756378830614024,-0.28594323780378983
68,0.32727272727272727,3.0,0.0,0.0,(0.05932840801796847-0.2644630675983864j),0.2710361122092317,-1.3501146223918217
69,0.32727272727272727,3.0,5.0,0.0,(0.6545094898084746-0.5165272036843529j),0.8337763635384051,-0.6681097938292976
70,0.32727272727272727,3.0,10.0,0.0,(0.9105768818761572+0.12196016312303008j),0.9187080815995368,0.1331448528134072
71,0.32727272727272727,3.0,15.0,0.0,(0.619831171237576+0.029837998231530802j),0.620548940033105,0.04810177867605871
72,0.3318181818181818,3.0,0.0,0.0,(0.4116289265279787-0.4588888472132532j),0.6164554706151001,-0.8396343589637886
73,0.3318181818181818,3.0,5.0,0.0,(0.8802332343202441-0.30123486351124423j),0.9303510035446384,-0.32972858983711695
74,0.3318181818181818,3.0,10.0,0.0,(0.8697192145992888+0.27024459614892443j),0.910737972191178,0.30126811662538283
75,0.3318181818181818,3.0,15.0,0.0,(0.6119975202497229+0.1912052115940747j),0.6411711142374903,0.30281934766091534
76,0.33636363636363636,3.0,0.0,0.0,(0.619587545628868-0.3917241248307912j),0.7330324117478393,-0.5637841721653231
77,0.33636363636363636,3.0,5.0,0.0,(0.9539879137257363-0.1085653055404332j),0.9601454916323205,-0.11331406139254796
78,0.33636363636363636,3.0,10.0,0.0,(0.8034530638636183+0.40474396066732665j),0.8996413171528472,0.46664755387289536
79,0.33636363636363636,3.0,15.0,0.0,(0.5651100619588526+0.32084708845925497j),0.6498401621167463,0.5163764727628881
80,0.34090909090909094,3.0,0.0,0.0,(0.727883696778206-0.2839281522849427j),0.7813001162776368,-0.37191988203019577
81,0.34090909090909094,3.0,5.0,0.0,(0.9728072344936992+0.07041736058873306j),0.9753525107137228,0.07225969836641531
82,0.34090909090909094,3.0,10.0,0.0,(0.7131999404655518+0.5246826241104877j),0.8854072572119194,0.6342692202671579
