,r1,wave,theta,t,p,phi
69,1.8489795918367347,3.0,5.0,0.9110060774967305,-2.806733954025116,0.0
70,1.8673469387755102,3.0,5.0,0.6225501367966036,1.7989617171207133,0.0
71,1.8857142857142857,3.0,5.0,0.8424245997693592,2.5208153505978723,0.0
72,1.9040816326530612,3.0,5.0,0.8003656095282248,2.73992439329084,0.0
73,1.9224489795918367,3.0,5.0,0.7934837492631329,2.714783520646746,0.0
74,1.9408163265306122,3.0,5.0,0.8581986034477911,2.772099597686049,0.0
75,1.9591836734693877,3.0,5.0,0.8085941585145867,2.315736951540446,0.0
76,1.9775510204081632,3.0,5.0,0.8030876753775155,2.3303108164879616,0.0
77,1.9959183673469387,3.0,5.0,0.7476592119674293,2.4467026378423222,0.0
78,2.0142857142857142,3.0,5.0,0.7876415033979488,2.306778112979554,0.0
