,r1,wave,theta,phi,t,p
144,0.322,4.0,0.0,0.0,0.6377911772108926,1.9388757912496337
145,0.3225,4.0,0.0,0.0,0.6383939628619032,1.9472076076044365
146,0.323,4.0,0.0,0.0,0.6390210822481507,1.9556090708642107
147,0.3235,4.0,0.0,0.0,0.6396730106406001,1.9640815779444125
148,0.324,4.0,0.0,0.0,0.6403502258802565,1.9726265629986535
149,0.3245,4.0,0.0,0.0,0.641053207964344,1.9812454983097199
150,0.325,4.0,0.0,0.0,0.6417824385915573,1.989939895191654
151,0.3255,4.0,0.0,0.0,0.6425384006631595,1.998711304900022
152,0.326,4.0,0.0,0.0,0.6433215777367036,2.0075613195493953
153,0.3265,4.0,0.0,0.0,0.6441324534289911,2.016491573036962
154,0.327,4.0,0.0,0.0,0.6449715107644635,2.0255037419694024
155,0.3275,4.0,0.0,0.0,0.6458392314651996,2.034599546591652
156,0.328,4.0,0.0,0.0,0.646736095178322,2.0437807517147593
157,0.3285,4.0,0.0,0.0,0.6476625786364855,2.0530491676405904
158,0.329,4.0,0.0,0.0,0.6486191547467173,2.0624066510798835
159,0.32949999999999996,4.0,0.0,0.0,0.6496062916027775,2.071855106060813
160,0.33,4.0,0.0,0.0,0.6506244514157574,2.081396484823716
161,0.3305,4.0,0.0,0.0,0.6516740893576182,2.0910327886990325
162,0.33099999999999996,4.0,0.0,0.0,0.652755652311733,2.1007660689624643
163,0.3315,4.0,0.0,0.0,0.6538695775245459,2.1105984276633687
164,0.332,4.0,0.0,0.0,0.6550162911519665,2.1205320184206533
165,0.3325,4.0,0.0,0.0,0.6561962066938473,2.130569047179696
166,0.333,4.0,0.0,0.0,0.657409723309742,2.140711772924252
167,0.3335,4.0,0.0,0.0,0.6586572240086157,2.1509625083352057
168,0.334,4.0,0.0,0.0,0.6599390737051485,2.161323620388772
169,0.3345,4.0,0.0,0.0,0.6612556171348659,2.1717975308854043
170,0.335,4.0,0.0,0.0,0.6626071766200982,2.1823867168992037
171,0.3355,4.0,0.0,0.0,0.6639940496785509,2.193093711137857
172,0.336,4.0,0.0,0.0,0.6654165064661958,2.2039211022020124
173,0.3365,4.0,0.0,0.0,0.666874787045809,2.214871534730937
174,0.337,4.0,0.0,0.0,0.6683690984725558,2.2259477094217948
175,0.3375,4.0,0.0,0.0,0.6698996116879367,2.237152382908098
176,0.33799999999999997,4.0,0.0,0.0,0.6714664582133738,2.248488367481057
177,0.3385,4.0,0.0,0.0,0.6730697266348269,2.2599585306377343
178,0.339,4.0,0.0,0.0,0.6747094588700555,2.271565794437506
179,0.33949999999999997,4.0,0.0,0.0,0.6763856462103645,2.2833131346472153
180,0.34,4.0,0.0,0.0,0.6780982251292036,2.295203579654682
181,0.3405,4.0,0.0,0.0,0.6798470728504343,2.307240209127705
182,0.34099999999999997,4.0,0.0,0.0,0.6816320026698642,2.3194261523952204
183,0.3415,4.0,0.0,0.0,0.6834527590246481,2.331764586524877
184,0.342,4.0,0.0,0.0,0.6853090123060563,2.344258734070457
185,0.3425,4.0,0.0,0.0,0.6872003534128125,2.356911860460628
186,0.343,4.0,0.0,0.0,0.6891262880435647,2.3697272709992276
187,0.3435,4.0,0.0,0.0,0.6910862307290676,2.382708307444898
188,0.34400000000000003,4.0,0.0,0.0,0.6930794986070677,2.395858344138245
189,0.3445,4.0,0.0,0.0,0.6951053049452156,2.4091807836404633
190,0.34500000000000003,4.0,0.0,0.0,0.69716275242074,2.4226790518497756
